Name,Rating,Short_Description,Features,SKU,Final_Price,MRP_Price,Included_Items,Product_Link,Processor,Operating_System,Display,Graphics,RAM,Storage,Microsoft_Office,Accessories,RAM_GB,Storage_Value,Storage_Type,Storage_GB,Discount,Processor_Brand,Processor_Level,Laptop_Type,Graphics_Type,Price_Category,Has_Backpack,Has_Mouse,Has_Office,Upsell_Score,Cross_Sell_Items,Brand
HP ZBook Firefly 40.6 cm (16) G11 Mobile Workstation PC,5.0,"Recommended for  2D and light 3D workflows, photography, and for running multiple large Microsoft Office files.","Intel® Core™ Ultra 7 processor | Windows 11 Pro | 40.6 cm (16) diagonal, WUXGA display | NVIDIA RTX™ A500 Graphics | 16 GB DDR5-5600 MHz RAM | 1 TB SSD Solid State Drive",A1VX6PT,156858.0,237854.0,,https://www.hp.com/in-en/shop/hp-zbook-firefly-16-g11-mobile-workstation-pc-a1vx6pt.html,Intel® Core™ Ultra 7 processor,Windows 11 Pro,"40.6 cm (16) diagonal, WUXGA display",NVIDIA RTX™ A500 Graphics,16 GB DDR5-5600 MHz RAM,1 TB SSD Solid State Drive,No,none,8.0,1,SSD,256,80355.0,AMD,Ryzen 7,Premium,Dedicated,Premium,1,0,False,59.0,,Lenovo
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa2196TX, Blue",0.0,Step up the fun with our most affordable gaming laptop range that doesn't shy on performance.,"13th Generation Intel® Core™ i5 processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD, IPS, anti-glare display | NVIDIA® GeForce RTX™ 3050 (6 GB) | 16 GB DDR4-3200 RAM | 512 GB SSD Hard Drive",C25VSPA,74200.0,90292.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | Microsoft Xbox Game Pass 3 month,https://www.hp.com/in-en/shop/victus-gaming-laptop-15-fa2196tx-c25vspa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD, IPS, anti-glare display",Integrated,16 GB DDR4-3200 RAM,512 GB SSD Hard Drive,Microsoft Xbox Game Pass 3 month,none,32.0,512,SSD,256,11293.0,Intel,i3,Gaming,Integrated,Mid-Range,1,0,False,33.0,"Mouse, MS Office",Lenovo
"HP Victus 39.6cm (15.6) Gaming Laptop 15-fa2700TX, Silver",3.3333,Follow your gaming destiny,"13th Generation Intel® Core™ i5 processor | Windows 11 Home | 39.6 cm (15.6) diagonal FHD IPS 144 Hz, 300 nits display | RTX 3050 6GB | 16 GB DDR4 RAM | 512 GB SSD Hard Drive",B7GP4PA,80788.0,88473.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | Microsoft Xbox Game Pass 3 month | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/victus-gaming-laptop-15-fa2700tx-b7gp4pa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,"39.6 cm (15.6) diagonal FHD IPS 144 Hz, 300 nits display",Integrated,16 GB DDR4 RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,32.0,512,SSD,512,10303.0,AMD,Ryzen 5,Gaming,Integrated,Premium,1,0,False,49.6665,"Backpack, Mouse, MS Office",Lenovo
"HP ProBook 4 G1i 35.6 cm (14) Laptop AI PC, Silver",0.0,Affordable devices designed with business in mind; commercial grade features with durable design,"Intel® Core™ Ultra 7 processor | Windows 11 Pro | 35.6 cm (14) diagonal, WUXGA, IPS display | Intel® Graphics | 16 GB DDR5-5600 RAM | 1 TB SSD Hard Drive",CG1Z9PA,144139.0,141954.0,,https://www.hp.com/in-en/shop/hp-probook-4-g1i-14-notebook-ai-pc-cg1z9pa.html,Intel® Core™ Ultra 7 processor,Windows 11 Pro,"35.6 cm (14) diagonal, WUXGA, IPS display",Intel® Graphics,16 GB DDR5-5600 RAM,1 TB SSD Hard Drive,No,none,16.0,1,SSD,256,1455.0,Intel,i5,Premium,Integrated,Premium,1,0,False,34.0,"Backpack, Mouse, MS Office",Lenovo
"HP EliteBook 640 35.6 cm (14) G11 Business Laptop PC, Silver",0.0,Devices that maximize business value to enterprise employees across all hybrid workstyles,"Intel® Core™ Ultra 5 processor | Windows 11 Pro | 35.6 cm (14) diagonal, WUXGA, IPS display | Intel® Graphics | 16 GB DDR5-5600 RAM | 512 GB SSD Hard Drive",B7TU5PT,120691.0,127112.0,,https://www.hp.com/in-en/shop/hp-elitebook-640-14-g11-notebook-pc-b7tu5pt.html,Intel® Core™ Ultra 5 processor,Windows 11 Pro,"35.6 cm (14) diagonal, WUXGA, IPS display",Intel® Graphics,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,No,none,16.0,512,SSD,512,10077.0,Intel,i5,Premium,Integrated,Premium,1,0,False,33.0,"Mouse, MS Office",Lenovo
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,3.8,"Recommended for  2D and light 3D workflows, photography, and for running multiple large Microsoft Office files.",Intel® Core™ Ultra 7 processor | Windows 11 Pro | 40.6 cm (16) diagonal WUXGA IPS display | NVIDIA RTX™ 2000 Ada Generation Graphics | 16 GB DDR5-5600 RAM | 1 TB SSD Solid State Drive,B6SA4PT,243713.0,337445.0,"FREE Bag (35L98AA) worth ₹ 1,785",https://www.hp.com/in-en/shop/hp-zbook-power-16-inch-g11-mobile-workstation-pc-b6sa4pt.html,Intel® Core™ Ultra 7 processor,Windows 11 Pro,40.6 cm (16) diagonal WUXGA IPS display,NVIDIA RTX™ 2000 Ada Generation Graphics,16 GB DDR5-5600 RAM,1 TB SSD Solid State Drive,No,free bag (35l98aa) ,32.0,1,SSD,1024,93185.0,AMD,Ryzen 3,Premium,Dedicated,Premium,0,0,False,53.0,"Backpack, Mouse, MS Office",Lenovo
"HP Pavilion 40.6 cm (16) Laptop 16-ag0019AU, Silver",4.3333,Create on a PC that has all the power you need,"AMD Ryzen™ 5 processor | Windows 11 Home | 40.6 cm (16) diagonal, WUXGA IPS display | AMD Radeon™ Graphics | 16 GB LPDDR5 RAM | 512 GB SSD Hard Drive",A1UD7PA,63421.0,76923.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00",https://www.hp.com/in-en/shop/hp-pavilion-laptop-16-ag0019au-a1ud7pa.html,AMD Ryzen™ 5 processor,Windows 11 Home,"40.6 cm (16) diagonal, WUXGA IPS display",AMD Radeon™ Graphics,16 GB LPDDR5 RAM,512 GB SSD Hard Drive,No,hp 310 15.6 laptop backpack ,8.0,512,SSD,1024,10424.0,Intel,i5,Normal,Integrated,Mid-Range,1,0,False,54.6665,"Backpack, Mouse, MS Office",Lenovo
"HP OmniBook 5 Laptop 40.6 cm (16) Next Gen AI 16-ag1087AU, Silver",0.0,Streamline your day with all the AI power you need.,"AMD Ryzen™ AI 7 (50 NPU TOPs) processor | Next Gen Windows | 40.6 cm (16) diagonal, 2K, IPS, Anti-glare, Touchscreen display | AMD Radeon™ 860M Graphics | 24 GB LPDDR5x-7500 RAM | 1 TB SSD Hard Drive",CG9Y6PA,94789.0,104613.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00",https://www.hp.com/in-en/shop/hp-omnibook-5-laptop-next-gen-ai-16-ag1087au-cg9y6pa.html,AMD Ryzen™ AI 7 (50 NPU TOPs) processor,Next Gen Windows,"40.6 cm (16) diagonal, 2K, IPS, Anti-glare, Touchscreen display",AMD Radeon™ 860M Graphics,24 GB LPDDR5x-7500 RAM,1 TB SSD Hard Drive,No,hp 310 15.6 laptop backpack ,8.0,1,SSD,256,10114.0,AMD,Ryzen 3,Premium,Integrated,Premium,1,0,False,50.0,"Backpack, Mouse, MS Office",Lenovo
"HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC, Silver",3.9375,Step up performance. Not size,Intel® Core™ Ultra 7 processor | Windows 11 Pro | 35.6 cm (14) diagonal WUXGA IPS display | NVIDIA RTX™ A500 Graphics | 32 GB DDR5-5600 RAM | 1 TB SSD Solid State Drive,A1VL3PT,176805.0,252344.0,"FREE Bag (35L98AA) worth ₹ 1,785",https://www.hp.com/in-en/shop/hp-zbook-firefly-14-inch-g11-mobile-workstation-pc-a1vl3pt.html,Intel® Core™ Ultra 7 processor,Windows 11 Pro,35.6 cm (14) diagonal WUXGA IPS display,NVIDIA RTX™ A500 Graphics,32 GB DDR5-5600 RAM,1 TB SSD Solid State Drive,No,free bag (35l98aa) ,32.0,1,SSD,512,78648.0,AMD,Ryzen 3,Premium,Dedicated,Premium,0,1,False,85.6875,"Backpack, Mouse, MS Office",Lenovo
"HP Victus 39.6cm (15.6) Gaming Laptop 15-fb3122AX, Blue",0.0,Fulfill your gaming destiny,"AMD Ryzen™ 7-7445HS processor | Windows 11 Home | 39.6 cm (15.6) diagonal FHD 144 Hz, IPS, 300 nits display | NVIDIA® GeForce RTX™ 2050 4GB | 16 GB DDR5-5600 RAM(Upgradeable) | 512 GB SSD Hard Drive",BV0R4PA,70328.0,76354.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,https://www.hp.com/in-en/shop/hp-victus-gaming-laptop-15-fb3122ax-bv0r4pa.html,AMD Ryzen™ 7-7445HS processor,Windows 11 Home,"39.6 cm (15.6) diagonal FHD 144 Hz, IPS, 300 nits display",Integrated,16 GB DDR5-5600 RAM(Upgradeable),512 GB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,none,8.0,512,SSD,256,8954.0,Intel,i5,Gaming,Integrated,Mid-Range,0,0,True,33.0,"Backpack, Mouse, MS Office",Lenovo
